sentence_id,original_text,falc_text,temperature,num_ctx,falc
1,"Léa enfouit sa tête dans son oreiller avant de se cacher tout à fait sous sa couverture. La lumière l'éblouit, son frère l'agace, elle préférerait rester seule. Elle se sent si triste aujourd'hui qu'elle ne sait pas si elle trouvera le courage de sortir de son lit. Elle a retourné son problème toute la nuit dans sa tête. Non seulement elle n'a pas trouvé de solution, mais en plus elle a très peu dormi. — Laisse-moi tranquille ! lance-t-elle à Clément qui entreprend d'ouvrir ses volets. Surpris, le jeune garçon se retourne et la dévisage. Pourquoi sa sœur est-elle d'aussi mauvaise humeur ? C'est son anniversaire tout de même ! Aujourd'hui, c'est elle, la reine de la journée ! Alors pourquoi râler ainsi ?",Léa reste dans son lit. « Laisse-moi tranquille ! » Léa est de mauvaise humeur. « Pourquoi râles-tu Léa ? C'est ton anniversaire aujourd'hui. C'est toi la reine de la journée. »,0.3,12288, « Léa est triste. Elle veut rester seule. Elle a beaucoup de mal à dormir. »
1,"Léa enfouit sa tête dans son oreiller avant de se cacher tout à fait sous sa couverture. La lumière l'éblouit, son frère l'agace, elle préférerait rester seule. Elle se sent si triste aujourd'hui qu'elle ne sait pas si elle trouvera le courage de sortir de son lit. Elle a retourné son problème toute la nuit dans sa tête. Non seulement elle n'a pas trouvé de solution, mais en plus elle a très peu dormi. — Laisse-moi tranquille ! lance-t-elle à Clément qui entreprend d'ouvrir ses volets. Surpris, le jeune garçon se retourne et la dévisage. Pourquoi sa sœur est-elle d'aussi mauvaise humeur ? C'est son anniversaire tout de même ! Aujourd'hui, c'est elle, la reine de la journée ! Alors pourquoi râler ainsi ?",Léa reste dans son lit. « Laisse-moi tranquille ! » Léa est de mauvaise humeur. « Pourquoi râles-tu Léa ? C'est ton anniversaire aujourd'hui. C'est toi la reine de la journée. »,0.5,12288," « Lea ne veut pas sortir aujourd'hui. Elle est triste. Elle a essayé toute la nuit d'en trouver la raison mais elle n'y a rien trouvé. C'est son anniversaire, donc on devrait être heureux ! »"
1,"Léa enfouit sa tête dans son oreiller avant de se cacher tout à fait sous sa couverture. La lumière l'éblouit, son frère l'agace, elle préférerait rester seule. Elle se sent si triste aujourd'hui qu'elle ne sait pas si elle trouvera le courage de sortir de son lit. Elle a retourné son problème toute la nuit dans sa tête. Non seulement elle n'a pas trouvé de solution, mais en plus elle a très peu dormi. — Laisse-moi tranquille ! lance-t-elle à Clément qui entreprend d'ouvrir ses volets. Surpris, le jeune garçon se retourne et la dévisage. Pourquoi sa sœur est-elle d'aussi mauvaise humeur ? C'est son anniversaire tout de même ! Aujourd'hui, c'est elle, la reine de la journée ! Alors pourquoi râler ainsi ?",Léa reste dans son lit. « Laisse-moi tranquille ! » Léa est de mauvaise humeur. « Pourquoi râles-tu Léa ? C'est ton anniversaire aujourd'hui. C'est toi la reine de la journée. »,0.7,12288," ""Lea se cache sous sa couverture. Elle aime être toute seule. La lumière est trop forte. Elle est triste et ne veut pas sortir de son lit. Elle a du mal à dormir."""
1,"Léa enfouit sa tête dans son oreiller avant de se cacher tout à fait sous sa couverture. La lumière l'éblouit, son frère l'agace, elle préférerait rester seule. Elle se sent si triste aujourd'hui qu'elle ne sait pas si elle trouvera le courage de sortir de son lit. Elle a retourné son problème toute la nuit dans sa tête. Non seulement elle n'a pas trouvé de solution, mais en plus elle a très peu dormi. — Laisse-moi tranquille ! lance-t-elle à Clément qui entreprend d'ouvrir ses volets. Surpris, le jeune garçon se retourne et la dévisage. Pourquoi sa sœur est-elle d'aussi mauvaise humeur ? C'est son anniversaire tout de même ! Aujourd'hui, c'est elle, la reine de la journée ! Alors pourquoi râler ainsi ?",Léa reste dans son lit. « Laisse-moi tranquille ! » Léa est de mauvaise humeur. « Pourquoi râles-tu Léa ? C'est ton anniversaire aujourd'hui. C'est toi la reine de la journée. »,0.9,12288, Tristesse. Léa se cache sous sa couverture car la lumière lui éblouit et que Clément l'agace. Elle ne veut pas sortir de son lit parce qu'elle est triste aujourd'hui. C'est elle qui doit être reine de la journée mais elle a trop peu dormi.
2,"Les bougies… Clément les trouve merveilleuses. Il adore quand sa mère les allume. Il regarde toujours leurs petites flammes danser pendant que tout le monde chante en chœur « Joyeux anniversaire ». Une nouvelle bougie, une nouvelle flamme pour une nouvelle année. Clément a hâte que Léa retrouve sa bonne humeur car aujourd'hui, pour le goûter, il va se régaler. Eh oui ! Gâteau et anniversaire vont toujours de pair !",Et tout le monde chante : « Joyeux anniversaire ! » « Vivement l'heure du goûter. Je vais me régaler. Les gâteaux d'anniversaire sont toujours bons. »,0.3,12288," Les bougies sont merveilleuses. Clément les aime beaucoup. Il est heureux quand sa mère les allume. Il regarde toujours leur petite flamme danser pendant que tout le monde chante ""Joyeux anniversaire"". Une nouvelle bougie, une nouvelle flamme pour une nouvelle année. Clément est impatient de voir Léa retrouver son bonheur car aujourd'hui, il va se régaler avec un gâteau ! Oui ! Gâteau et anniversaire vont toujours ensemble !"
2,"Les bougies… Clément les trouve merveilleuses. Il adore quand sa mère les allume. Il regarde toujours leurs petites flammes danser pendant que tout le monde chante en chœur « Joyeux anniversaire ». Une nouvelle bougie, une nouvelle flamme pour une nouvelle année. Clément a hâte que Léa retrouve sa bonne humeur car aujourd'hui, pour le goûter, il va se régaler. Eh oui ! Gâteau et anniversaire vont toujours de pair !",Et tout le monde chante : « Joyeux anniversaire ! » « Vivement l'heure du goûter. Je vais me régaler. Les gâteaux d'anniversaire sont toujours bons. »,0.5,12288," « Clément adore les bougies. Il aime quand sa mère les allume. Tous chantent « Joyeux anniversaire » et Clément regarde la flamme danser. Une nouvelle bougie, une nouvelle année pour Clément. Il est impatient que Léa soit heureuse car aujourd'hui, il va se régaler avec du gâteau ! »"
2,"Les bougies… Clément les trouve merveilleuses. Il adore quand sa mère les allume. Il regarde toujours leurs petites flammes danser pendant que tout le monde chante en chœur « Joyeux anniversaire ». Une nouvelle bougie, une nouvelle flamme pour une nouvelle année. Clément a hâte que Léa retrouve sa bonne humeur car aujourd'hui, pour le goûter, il va se régaler. Eh oui ! Gâteau et anniversaire vont toujours de pair !",Et tout le monde chante : « Joyeux anniversaire ! » « Vivement l'heure du goûter. Je vais me régaler. Les gâteaux d'anniversaire sont toujours bons. »,0.7,12288," Clément aime les bougies. Elles sont magnifiques. Il aime voir leurs petites flammes danser lorsque sa mère allume les bougies. Tous chantent ensemble « Joyeux anniversaire ». Une nouvelle bougie, une nouvelle flamme pour une nouvelle année. Clément est impatient de retrouver Léa en bonne humeur car il va s'offrir un gâteau aujourd'hui ! Oui ! Gâteau et anniversaire sont toujours ensemble !"
2,"Les bougies… Clément les trouve merveilleuses. Il adore quand sa mère les allume. Il regarde toujours leurs petites flammes danser pendant que tout le monde chante en chœur « Joyeux anniversaire ». Une nouvelle bougie, une nouvelle flamme pour une nouvelle année. Clément a hâte que Léa retrouve sa bonne humeur car aujourd'hui, pour le goûter, il va se régaler. Eh oui ! Gâteau et anniversaire vont toujours de pair !",Et tout le monde chante : « Joyeux anniversaire ! » « Vivement l'heure du goûter. Je vais me régaler. Les gâteaux d'anniversaire sont toujours bons. »,0.9,12288," Les bougies… La chambre de Clément brille. Il aime quand sa mère allume les bougies. Il regarde leurs petites flammes danser pendant que tout le monde chante ""Joyeux anniversaire"". Une nouvelle bougie, une nouvelle année pour Clément. Le gâteau… Clément se réjouit car il est son jour d'anniversaire et sa copine Léa sera heureuse. Eh oui ! Gâteau et anniversaire vont toujours de pair !"
3,"Comme Léa ne sort toujours pas de son lit, Clément appelle sa mère. Cette dernière, qui est en train de préparer un bon petit-déjeuner, se rend immédiatement dans la chambre de sa fille. Elle entre doucement et dépose un baiser sur le front de Léa avant de s'asseoir près d'elle. — Pourquoi es-tu triste ? Tu devrais être heureuse pourtant. Aujourd'hui, c'est toi la reine de la journée ! Dis-moi ce qui t'ennuie ma chérie. Léa regarde sa mère et au moment où elle ouvre la bouche pour répondre, elle se met à pleurer. De grosses larmes coulent sur ses joues.",Léa ne sort toujours pas de son lit. Maman va voir Léa. « Pourquoi es-tu triste Léa ? C'est ton anniversaire aujourd'hui. Tu es la reine de la journée. » Léa se met à pleurer.,0.3,12288," Clément appelle sa mère parce que Léa ne sort pas de son lit. Sa mère va dans la chambre de Léa et lui donne un baiser. Elle demande pourquoi Léa est triste. Elle devrait être heureuse, car c'est son jour. Mais Léa commence à pleurer. Elle a des grosses larmes qui coulent sur ses joues. Elle ne peut pas parler. Sa mère la console et lui dit qu'elle va tout bien."
3,"Comme Léa ne sort toujours pas de son lit, Clément appelle sa mère. Cette dernière, qui est en train de préparer un bon petit-déjeuner, se rend immédiatement dans la chambre de sa fille. Elle entre doucement et dépose un baiser sur le front de Léa avant de s'asseoir près d'elle. — Pourquoi es-tu triste ? Tu devrais être heureuse pourtant. Aujourd'hui, c'est toi la reine de la journée ! Dis-moi ce qui t'ennuie ma chérie. Léa regarde sa mère et au moment où elle ouvre la bouche pour répondre, elle se met à pleurer. De grosses larmes coulent sur ses joues.",Léa ne sort toujours pas de son lit. Maman va voir Léa. « Pourquoi es-tu triste Léa ? C'est ton anniversaire aujourd'hui. Tu es la reine de la journée. » Léa se met à pleurer.,0.5,12288," C'est Clément qui appelle sa maman. Elle vient dans la chambre de Léa. Elle lui donne un baiser et s'assied près d'elle. — Pourquoi tu pleures, ma fille ? Tu es la reine aujourd'hui ! Dis-moi ce qui t'ennuie. Léa répond qu'elle est triste mais elle ne peut pas dire pourquoi. Elle pleure des grosses larmes."
